geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity
"{'location': {'lat': 40.7447892, 'lng': -73.9587586}, 'viewport': {'northeast': {'lat': 40.74598237989272, 'lng': -73.95718402010728}, 'southwest': {'lat': 40.74328272010728, 'lng': -73.95988367989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4eb068fc97498e14b926540d05ec56321c4837ff,Long Island Sign,{'open_now': True},"[{'height': 1242, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105651599070640754935/photos"">Rich Tallent</a>'], 'photo_reference': 'CmRaAAAAoe63kI0zPUjBJ0K-dXQ1M-L1vwDw-mGkVB85F1h1ZbwNwmLnfcIdUTrQ9DuzTX-ZyI6VJUkXLi6zhXXDtj0fdsabeg6vueD34Ucqn9yf0kvcMos9iIqndY-wzasZ9yRLEhBK5yER9c1ej6G_JtKxzvgIGhTfq6fkPmaae1xxv5U5kNUYUbDZfg', 'width': 1842}]",ChIJf8tKZSJZwokRGpTaFJLtPqM,"{'compound_code': 'P2VR+WF New York, USA', 'global_code': '87G8P2VR+WF'}",4.9,ChIJf8tKZSJZwokRGpTaFJLtPqM,GOOGLE,"['point_of_interest', 'establishment']",25,"4-09 Center Blvd, Long Island City"
"{'location': {'lat': 40.5984686, 'lng': -73.5271771}, 'viewport': {'northeast': {'lat': 40.59978032989272, 'lng': -73.52582947010728}, 'southwest': {'lat': 40.59708067010728, 'lng': -73.52852912989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a88a5283fee059f989896ced4f71f753d6a647ab,Harbor Seal Watch Spot,,"[{'height': 836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105445584459075599548/photos"">Amber Roberts</a>'], 'photo_reference': 'CmRaAAAAm5YQb0mu55ROCx_JApvzXM6U5BVPrF6Zuo8PGzUAVjoZh7DpZOS-UCRcmiebgeNX2RaM4HRHdUr935ZLcU2N2CVn6U02EyQ16xFH5OKXxscmbyko2rcKThYOyBJ62jyUEhAZ4YxjYE6xCOM1n_JSoBXKGhSCP9ON1k3E5B529ysYxK7Wxl2nwg', 'width': 836}]",ChIJYfpVArt5wokRzc-isKq5k1g,"{'compound_code': 'HFXF+94 Bellmore, Hempstead, NY, USA', 'global_code': '87G8HFXF+94'}",4.3,ChIJYfpVArt5wokRzc-isKq5k1g,GOOGLE,"['point_of_interest', 'establishment']",12,"Bay Pkwy, Wantagh"
"{'location': {'lat': 40.748384, 'lng': -73.9854792}, 'viewport': {'northeast': {'lat': 40.74959357989272, 'lng': -73.98380132010728}, 'southwest': {'lat': 40.74689392010728, 'lng': -73.98650097989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d3fc8baa6c5c6263633a65358a4f6fd671e8b82a,Grayline New York Tours,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108711145884594936654/photos"">Hector Llorente</a>'], 'photo_reference': 'CmRaAAAAQ80AmDbYyzGm1S7vn0HTZK7d2aVtCcO-Dh0Amjp6Q4mKTyPFd7ImHZfJwcjDEMpa3NfQlZGDx0czXHDtUwoczL54p0OvpXSqu0dyNe4teapsvFR2nDC2VSYBRnVzTeMnEhCrdKy8uqAo6DQGFFX_14SfGhT-lvMHE4UJZ5XFKLyc0wTa1vT1oA', 'width': 4032}]",ChIJzxqYrqlZwokRA6KBGuCOSCE,"{'compound_code': 'P2X7+9R New York, USA', 'global_code': '87G8P2X7+9R'}",2.9,ChIJzxqYrqlZwokRA6KBGuCOSCE,GOOGLE,"['point_of_interest', 'establishment']",21,"Empire State Building, Building Lobby), 350 5th Ave, New York"
"{'location': {'lat': 40.7585013, 'lng': -73.97808700000002}, 'viewport': {'northeast': {'lat': 40.75985112989272, 'lng': -73.97673717010728}, 'southwest': {'lat': 40.75715147010727, 'lng': -73.97943682989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0129a6592c0b5edf1c7dd7923b580384d97eceb0,The Channel Gardens,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112467287728796786749/photos"">Javier Vigon</a>'], 'photo_reference': 'CmRaAAAAXniUobqn7XbnWSIOrbHbnve4WjE_HhnnM2Ks9Ni3XPdzCX4-szal2rIU9RUr7O0Xi-EL3-an3s30bSWEq-MFOiohAMKflffXN8KhxjmXTr3rfCmBnYwfwL-gthsbFIBZEhCjKDtvD4v6ehdUA7vlFPJGGhTCH_vRxwLKKGG_YZ9OZVEKHxNlzg', 'width': 3456}]",ChIJ5yWju_5YwokR6dgLgzNaIBw,"{'compound_code': 'Q25C+CQ New York, USA', 'global_code': '87G8Q25C+CQ'}",4.6,ChIJ5yWju_5YwokR6dgLgzNaIBw,GOOGLE,"['point_of_interest', 'establishment']",70,New York
"{'location': {'lat': 40.4744162, 'lng': -74.420418}, 'viewport': {'northeast': {'lat': 40.47560937989272, 'lng': -74.41909297010727}, 'southwest': {'lat': 40.47290972010727, 'lng': -74.4217926298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d345351e9296a37fa162a9c286275afd5fd539d3,"Log Cabin Parking Lot, Helyar Woods",,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104042177950803474696/photos"">Pedro Murillo</a>'], 'photo_reference': 'CmRaAAAAyir6PfK_8wVaNraIf9_gyXln_j7kT7rmzT-WCq1iaUG96h1zl7LoWsPB6wuDO0l5v3jvl4QSJvxnJYF19gNbdHuly7O-6XHUonGgLXEyldAKHudv222lSCSujrUndO_pEhD_jEeCNEGHgip9kismrEr1GhRPiMSklGCdE4zIeO4ub2mzGQSdcA', 'width': 4032}]",ChIJ08A_1RbGw4kRrncV1Qbp3o4,"{'compound_code': 'FHFH+QR North Brunswick Township, New Jersey, USA', 'global_code': '87G7FHFH+QR'}",4.8,ChIJ08A_1RbGw4kRrncV1Qbp3o4,GOOGLE,"['point_of_interest', 'establishment']",9,East Brunswick
"{'location': {'lat': 40.7463961, 'lng': -73.8450629}, 'viewport': {'northeast': {'lat': 40.74715690000001, 'lng': -73.84420492010729}, 'southwest': {'lat': 40.7441137, 'lng': -73.84690457989274}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1b5a621d79e9f9df77db13511f4feef1ee93d44b,Unisphere,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104388513464601246139/photos"">Jason Hartleb</a>'], 'photo_reference': 'CmRaAAAAFYl5FABGAKv8-OR-UKSh_0opK2GtM8pm3Pw3719c8aSXVGfBhFuEhvTUWlJ1xYeMTG3yHACE77AHil2c_7E0CL9-S0eWs5G6E3q_LOyahIwaCBDWP8ooeERHOQnrF2LVEhDTnlGo0QdbVWI69wk4P9dhGhRdPP14M_Il1ezE1rdFcKsxUNOoxw', 'width': 4032}]",ChIJn11TytlfwokRvgXAIibPBJQ,"{'compound_code': 'P5W3+HX New York, USA', 'global_code': '87G8P5W3+HX'}",4.7,ChIJn11TytlfwokRvgXAIibPBJQ,GOOGLE,"['point_of_interest', 'establishment']",580,"Avenue of the Americas, Flushing"
"{'location': {'lat': 40.718155, 'lng': -74.009552}, 'viewport': {'northeast': {'lat': 40.71942982989272, 'lng': -74.00821817010727}, 'southwest': {'lat': 40.71673017010728, 'lng': -74.0109178298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1720b752c0ac798ad717d2149caecab97ca7dd0f,Staple Street Skybridge,{'open_now': True},"[{'height': 3260, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100131516380499925265/photos"">alexander torres</a>'], 'photo_reference': 'CmRaAAAAVkwvPPO6D8cOiH7kp11Vpe-0hIC9QdP_393UDHba0DJzpL5uRp-tJ67boFScHsu6lRWgg5I6jRyhfz-90hd6_Ng24i0P5e7ZVuBWIu9oynbTV6rG41C_d_VApaKJsEagEhDDjj11q5kr3LZwJsto_uMlGhTvIeT5rrq8GYjTAsXKBE3shlPJjw', 'width': 5300}]",ChIJU8lrNR5awokR5T6AOanJmbE,"{'compound_code': 'PX9R+75 New York, USA', 'global_code': '87G7PX9R+75'}",4.5,ChIJU8lrNR5awokR5T6AOanJmbE,GOOGLE,"['point_of_interest', 'establishment']",40,"9 Jay St, New York"
"{'location': {'lat': 40.7738225, 'lng': -73.9708185}, 'viewport': {'northeast': {'lat': 40.77508287989273, 'lng': -73.96957767010727}, 'southwest': {'lat': 40.77238322010728, 'lng': -73.97227732989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a0ef510c644761c63dde2bde0b0ce5f570625e2b,Bethesda Terrace,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118202359851255157127/photos"">_Ê_¥_¢_Ó _¢___ª_»</a>'], 'photo_reference': 'CmRaAAAAL6WvJ7S-Ze41obKNo4wW9oEcU0_jhjUqNhc80gQgC_W-jc0ojBXJ2kOxX9jlJgHQ3m3fmAzaTC9oDlOs3j0Yis2sUPVN4kixCvN_nl2cgNU70ndjS3G82Wza9_KjlFntEhAGaTUrq6VamBfW3U-XWlwKGhQ7mtCdI4BvEOSxuiObVJrBdBKDnw', 'width': 4032}]",ChIJEYYWppJYwokRUTul6ztwlJ0,"{'compound_code': 'Q2FH+GM New York, USA', 'global_code': '87G8Q2FH+GM'}",4.7,ChIJEYYWppJYwokRUTul6ztwlJ0,GOOGLE,"['point_of_interest', 'establishment']",951,"72 Terrace Dr, New York"
"{'location': {'lat': 40.8348465, 'lng': -73.9396728}, 'viewport': {'northeast': {'lat': 40.83619632989272, 'lng': -73.93832297010728}, 'southwest': {'lat': 40.83349667010727, 'lng': -73.94102262989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d4162d1cffe2e3d10895e20337fd60fb62c45009,Sylvan Terrace,,"[{'height': 854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104596856248078658268/photos"">Rouslan Valonen</a>'], 'photo_reference': 'CmRaAAAAOm2wOYotG3bYgyEPJnloXmtEsS4PCOeJgQp93f6-8JDnLf1JOj7JIF0mZcPKtbBU02slGUCSMOTdTJD2vWSsSoa5ND7ZgP5NW-tu6Tmx2_RI9zKjCrqv7pujNWGqmDqvEhBjIeXdVAfj_kAfo93ELHd8GhTZJ027-5zfPoktSUvFKrCe84dbSw', 'width': 1280}]",ChIJO-d-pYP2wokRlY2uhMAJtEE,"{'compound_code': 'R3M6+W4 New York, USA', 'global_code': '87G8R3M6+W4'}",4.7,ChIJO-d-pYP2wokRlY2uhMAJtEE,GOOGLE,"['point_of_interest', 'establishment']",23,"Sylvan Terrace, New York"
"{'location': {'lat': 40.779239, 'lng': -73.9733636}, 'viewport': {'northeast': {'lat': 40.78060947989272, 'lng': -73.97198417010728}, 'southwest': {'lat': 40.77790982010728, 'lng': -73.97468382989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,cb66f58ef861e4904e51dfd9529c2cb55ab2fbde,West 77th Street Stone Arch,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115525105953442842891/photos"">Fabricio Lederhos</a>'], 'photo_reference': 'CmRaAAAAcoKKKsKLWF2-sJkJCtZaehYuisfPNfaOpv7R1kD-aI09ieJcg0rKRrvAV5zkhKt4DKWeFM2alVQij2OSN6csy71VDhTj-HSs0AUgJYebdowQABsctv3uADhBvBNFz-OyEhDRF1YBk4i7q_o3hNpKWb3SGhRUG7oTj-rhvpZpMcTLQJ0J3QUVfA', 'width': 720}]",ChIJRTdtb45YwokRlxneeIY-WUw,"{'compound_code': 'Q2HG+MM New York, USA', 'global_code': '87G8Q2HG+MM'}",4.8,ChIJRTdtb45YwokRlxneeIY-WUw,GOOGLE,"['point_of_interest', 'establishment']",10,"2 W 77th St, New York"
