types,name,distance,reviews,rating
"['museum', 'point_of_interest', 'establishment']",Museum of the Earth,6.3432135171710495,"[{'text': 'My son has been really into dinosaurs recently so we went to the museum during one of their free days (Jan-March). Wasnt overly crowded, staff and volunteers were attentive and offered information. There was a nice selection of hands on activities and a few play areas throughout.', 'author_name': 'Kelsey', 'relative_time_description': '4 weeks ago', 'rating': 5}, {'text': ""A lot of neat stuff to look at. Bigger than it looks. Took about an hour to go through. Went with kids of the age 5 and 6. They were somewhat interested. A lot of rocks and fossils made up a majority of the Museum. My biggest complaint was the gift shop.... Very un organized and a lot of the items didn't have prices. The admission desk is the same desk to cash out. Also very overpriced."", 'author_name': 'Eric Coryell', 'relative_time_description': '2 weeks ago', 'rating': 3}, {'text': ""Went on a day when the admission was free.  I'm generally a huge fan of museums and their service to the community--however there is barely an hour or two worth of material to explore at this one.  I can't say it's worth the high price of admission."", 'author_name': 'Christopher Parzyck', 'relative_time_description': 'a month ago', 'rating': 2}, {'text': 'Very nice place, but could use a lot more things for kids to do. It seemed like nobody works on weekends only the gift shop and the front desk, so they can make money...', 'author_name': 'blanca compton', 'relative_time_description': 'a week ago', 'rating': 4}, {'text': ""Wonderful small museum. They usually have a special changing exhibit which is always cool.if you haven't been to the area a lot and want to learn more about the area this is a great place to learn about the gorge and the ice age. Definitely worth checking out if you've never been before."", 'author_name': 'JoeBruceMock', 'relative_time_description': '3 months ago', 'rating': 5}]",4.5
"['museum', 'point_of_interest', 'establishment']",Sciencenter,3.14727891630399,"[{'text': 'Liked this place very much, there were some really neat exhibits. We loved the water exhibit and the big blue building blocks. We weren’t able to do the outside part because of the weather but are definitely looking forward to it next time we are in town!', 'author_name': 'Allison Stier', 'relative_time_description': '3 weeks ago', 'rating': 5}, {'text': 'The kids absolutely love it. There is plenty to do there and there is something for everyone, including they really young children. It usually takes us a while to convince the kids it is time to go! Great pricing too and they truly make it affordable for everyone!', 'author_name': 'Melissa DeFord', 'relative_time_description': 'in the last week', 'rating': 5}, {'text': ""This place is amazing for children and adults! They have many different interactive things to do! The staff is extremely helpful and educated! I also love all the artwork that is outside in the parking lot, it's a mosaic and it's absolutely stunning!"", 'author_name': 'Lauralee Voy', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'Great place to bring kids of all ages. My two year old daughter had a blast. Amazing value for the very low cost of admission.', 'author_name': ""Sean O'Brien"", 'relative_time_description': '2 weeks ago', 'rating': 5}, {'text': 'I loved this place as a kid. They always had changing exhibits so there was always something new to see. My favorite thing there hands down was the water dam with the rubber ducks.\n\nThe outdoor area was great for running around and getting your engery out. There were also a couple of small live creatures on display that they would sometimes take out and show you.\n\nIt is a great family experience and I recommend going here.', 'author_name': 'JoeBruceMock', 'relative_time_description': '2 weeks ago', 'rating': 5}]",4.7
"['museum', 'point_of_interest', 'establishment']",Herbert F. Johnson Museum of Art,2.34036688229,"[{'text': 'This is a really outstanding art museum. The architecture is a little outdated and feels odd on the campus, but it’s definitely standing out. Inside the museum I’m not in love with the layout. It’s very easy to get lost in the maze and the stairwells are weird. But that’s all perfectly okay because the range and quality of the art is incredible! After a few hours I’m still wanting to stick around a revisit a few pieces.', 'author_name': 'Clifford King', 'relative_time_description': 'in the last week', 'rating': 5}, {'text': 'I love it! Worth every bit of the travel out here from Ohio. If you are planning to go, make sure you set aside at least a few hours. As for me, I could have spent the whole day! There is so much to learn and experience there, truly amazing. I will be returning the next chance I get!', 'author_name': 'danielle dimitriou', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'What a delightful way to spend a beautiful Sunday morning. The ""Moon"" exhibit alone is worthwhile. There is more stuff that we want to see, so we\'ll return. The view from the 5th floor windows is spectacular.', 'author_name': 'Jim Savitt', 'relative_time_description': '3 months ago', 'rating': 5}, {'text': 'My wife and I enjoyed this relatively small but beautiful museum. It has a diverse collection for a free experience. The deck outside the second floor is a must. You will see what I mean when you go.\nAdmission is free. Parking is limited. Combine the museum with a short walk across the road to the Cornell suspension bridge to get a wonderful view of the gorge and waterfall', 'author_name': 'Michael Ramsburg', 'relative_time_description': '6 months ago', 'rating': 4}, {'text': 'Awesome free museum. Worth checking out for sure.', 'author_name': 'Zachary Stansell', 'relative_time_description': 'a week ago', 'rating': 5}]",4.7
"['museum', 'point_of_interest', 'food', 'establishment']",Ports of New York Winery,3.380386073631669,"[{'text': ""Gosh where do I begin with the amazing experience my friends and I had at this winery! There is a certain charm about this family-owned boutique winery. The story behind the winery, the wine maker and the wines made our visit so special. We highly recommend Frederick's port wines! Will visit again for sure."", 'author_name': 'Penn Libellus', 'relative_time_description': '5 months ago', 'rating': 5}, {'text': 'A truly great winery with a truly beautiful couple at the helm. The visit and tasting was great. An Ithaca treasure.', 'author_name': 'Robin Presthus', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': ""We stopped by without appointment and the owner was friendly and welcoming. He gave a nice brief yet personal tour that lasted about 45 minutes and included a nice story about his family's wine making history in France. There were two table wines and two ports for tasting and all were superb and easy to drink. Highly recommend if you have a free hour."", 'author_name': 'Gary Coffman', 'relative_time_description': '8 months ago', 'rating': 5}, {'text': ""The owner is very nice and intelligent person, it's was a great experience with good wine 🍷 the cost for the testing is 5$ and it include an explanation."", 'author_name': 'שחר טל', 'relative_time_description': '4 months ago', 'rating': 5}, {'text': 'Do I love Ithaca so much that I will drink her wine? Yes I do. Since I discovered Ports of NY, there is a bottle or two of the red Meleau port in my home at all times. I will have a small glass of it at odd times, including when I make a steak. Love it.', 'author_name': 'Bob Carson', 'relative_time_description': '7 months ago', 'rating': 5}]",4.9
"['museum', 'point_of_interest', 'establishment']",Handwerker Gallery,1.9848289726480697,"[{'text': '', 'author_name': 'Meredith A Palmer', 'relative_time_description': '3 months ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Lhb Hortorium Museum,1.9456162196035838,"[{'text': '', 'author_name': '葉松瓚', 'relative_time_description': 'a year ago', 'rating': 4}]",4.0
"['museum', 'point_of_interest', 'establishment']",Cornell University Museum of Vertebrates,5.766127456649234,[],
"['museum', 'point_of_interest', 'establishment']",Ithaca's Discovery Trail,5.762307751578233,"[{'text': '', 'author_name': 'Juliana rodriguez fuentes', 'relative_time_description': '8 months ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Carl Sagan Planetwalk - Cascadilla Creek crossing at the Planetary Footbridge,2.900213879639544,"[{'text': ""This is such a beautiful walk and it's really sweet seeing other people on the trail ducking into shops to get their sagan stamps. Such a thoughtful tribute!"", 'author_name': 'Tali Cherniawsky', 'relative_time_description': '6 months ago', 'rating': 5}, {'text': 'You have to do this walk! I promise you will learn something new.', 'author_name': 'Daniel Winne', 'relative_time_description': '8 months ago', 'rating': 5}, {'text': '', 'author_name': 'Doug Phunny', 'relative_time_description': '5 months ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Neighbors Art Gallery,3.029862234282044,[],
